"lake","date","year","doy","PML","PML.g440","taxon_name","number_per_net","mean_length","mean_individ_biomass","net_efficiency_mean","abundance_raw","abundance","biomass","manual_chl","cumulative.load","daily.load"
"T",2015-08-05,2015,217,0.197,4.53691,"Daphnia",0,NA,NA,0.14,0,0,NA,8.20542210907625,198,3
"R",2015-08-10,2015,222,0.078,1.79634,"Daphnia",264.643636363636,0.842333333333333,5.46636345937824,0.17723005627381,3743.94158978549,21124.7554083114,0.115475591052296,4.17955247994999,87,0
"L",2015-08-11,2015,223,0.055,1.26665,"Daphnia",168.110649910233,0.990333333333333,9.32832555311455,0.1437983365,2378.27919285375,16538.9896068356,0.154281079372141,2.48053455152276,0,0
"T",2015-08-12,2015,224,0.195,4.49085,"Daphnia",0,NA,NA,0.14,0,0,NA,14.5573536213744,219,3
"R",2015-08-17,2015,229,0.065,1.49695,"Daphnia",247.628083491461,0.7706,3.7135430012617,0.17723005627381,3503.22075875899,19766.5160888214,0.0734038074809697,3.50757181790073,87,0
"L",2015-08-18,2015,230,0.052,1.19756,"Daphnia",497.28725254581,0.942466666666667,7.26027114899621,0.1437983365,7035.17550037808,48923.9004540089,0.355200782962604,2.39041949967021,0,0
"T",2015-08-19,2015,231,0.199,4.58297,"Daphnia",0,NA,NA,0.14,0,0,NA,33.2113578162622,240,3
"R",2015-08-24,2015,236,0.062,1.42786,"Daphnia",1067.01671442216,0.946866666666667,8.81622203770435,0.17723005627381,15095.1986188409,85172.9042816515,0.750903235743179,2.95837493741924,87,0
"L",2015-08-25,2015,237,0.057,1.31271,"Daphnia",358.256787575117,1.1488,11.9605682388246,0.1437983365,5068.2967678936,35245.8650861625,0.421560574499452,3.38057541552255,0,0
"T",2015-08-26,2015,238,0.184,4.23752,"Daphnia",0,NA,NA,0.14,0,0,NA,67.7405379064634,261,3
"R",2016-05-16,2016,137,0.077,1.77331,"Daphnia",12.8488721421661,0.87216819685823,5.67655813593553,0.1437983365,181.774356851688,1264.09220910346,0.00717569291415896,NA,NA,NA
"L",2016-05-17,2016,138,0.046,1.05938,"Daphnia",174.149659391075,1.0251465521897,16.139959306685,0.1437983365,2463.71370043196,17133.1168384688,0.276527808569566,NA,NA,NA
"T",2016-05-18,2016,139,0.221,5.08963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-05-23,2016,144,0.077,1.77331,"Daphnia",24.2937272532648,1.09695181799518,13.1221293503829,0.1437983365,343.68593586519,2390.05501892708,0.031362611112893,NA,NA,NA
"L",2016-05-24,2016,145,0.048,1.10544,"Daphnia",45.539018250472,0.648148718457978,2.23406449874938,0.1437983365,644.245320721303,4480.20009411793,0.0100090559775625,NA,NA,NA
"T",2016-05-25,2016,146,0.213,4.90539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-05-30,2016,151,0.085,1.95755,"Daphnia",7.48004168837937,0.689027518249804,2.60043724804847,0.1437983365,105.820943043469,735.898242073675,0.00191365719946177,NA,NA,NA
"L",2016-05-31,2016,152,0.071,1.63513,"Daphnia",60.0886368267337,1.03411821774685,9.31882229036201,0.1437983365,850.080317744744,5911.61440692149,0.0550892841072451,NA,NA,NA
"T",2016-06-01,2016,153,0.206,4.74418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-06-06,2016,158,0.094,2.16482,"Daphnia",14.0497671141728,1.08252047339318,11.0740036471535,0.1437983365,198.763545378716,1382.23814138988,0.0153069102189862,NA,NA,NA
"L",2016-06-07,2016,159,0.063,1.45089,"Daphnia",47.7571536923395,1.14737482047279,17.2147625925198,0.1437983365,675.625518056461,4698.42374050316,0.0808822492518207,NA,NA,NA
"T",2016-06-08,2016,160,0.215,4.95145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-06-13,2016,165,0.094,2.16482,"Daphnia",10.8366233784777,0.696145270729347,3.05736388478949,0.1437983365,153.306860187549,1066.12401727991,0.00325952906713829,NA,NA,NA
"L",2016-06-14,2016,166,0.061,1.40483,"Daphnia",25.6099835436094,0.727792682093057,3.08869739149619,0.1437983365,362.307153197114,2519.55037878421,0.00778212868269402,NA,NA,NA
"T",2016-06-15,2016,167,0.211,4.85933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-06-20,2016,172,0.089,2.04967,"Daphnia",28.9091037702483,0.797181403556877,5.88162834757378,0.1437983365,408.980156923695,2844.12300502304,0.0167280744903302,NA,NA,NA
"L",2016-06-21,2016,173,0.059,1.35877,"Daphnia",69.9947528307097,0.821307380480197,4.81672816796123,0.1437983365,990.223191422478,6886.19364816142,0.0331689229151348,NA,NA,NA
"T",2016-06-22,2016,174,0.216,4.97448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-06-27,2016,179,0.091,2.09573,"Daphnia",63.7194555587311,0.824164284514492,4.65293577481239,0.1437983365,901.445895404125,6268.82005275579,0.0291684170893287,NA,NA,NA
"L",2016-06-28,2016,180,0.062,1.42786,"Daphnia",46.3866512078632,0.701740166668059,2.71405845562243,0.1437983365,656.236874063206,4563.59155492182,0.0123858542476427,NA,NA,NA
"T",2016-06-29,2016,181,0.232,5.34296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-07-04,2016,186,0.09,2.0727,"Daphnia",56.1286537230638,0.868508230359238,7.06206635973014,0.1437983365,794.058016810571,5522.02505354136,0.0389969073682014,NA,NA,NA
"L",2016-07-05,2016,187,0.061,1.40483,"Daphnia",48.4738209017245,0.766845605232996,6.08291136983537,0.1437983365,685.764285072061,4768.93058545264,0.0290089820802055,NA,NA,NA
"T",2016-07-06,2016,188,0.218,5.02054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-07-11,2016,193,0.092,2.11876,"Daphnia",32.9585561497326,0.80261022823337,4.40789812234792,0.1437983365,466.268189191265,3242.51448618993,0.0142926735153625,NA,NA,NA
"L",2016-07-12,2016,194,0.06,1.3818,"Daphnia",94.5041643531371,0.735086176548819,3.23046539990872,0.1437983365,1336.96043551739,9297.46802402955,0.0300351487583852,NA,NA,NA
"T",2016-07-13,2016,195,0.226,5.20478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-07-18,2016,200,0.093,2.14179,"Daphnia",199.450207125104,0.769020801577388,3.54836972233015,0.1437983365,2821.64323241446,19622.224436612,0.0696269070756409,NA,NA,NA
"L",2016-07-19,2016,201,0.067,1.54301,"Daphnia",320.892290718522,0.942966422150198,7.31585459685527,0.1437983365,4539.69726826083,31569.8872376095,0.230960704669468,NA,NA,NA
"T",2016-07-20,2016,202,0.212,4.88236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-07-25,2016,207,0.088,2.02664,"Daphnia",137.95148657289,0.905742151343986,7.23040767336549,0.1437983365,1951.61431066228,13571.883779492,0.0981302526212635,NA,NA,NA
"L",2016-07-26,2016,208,0.061,1.40483,"Daphnia",266.208156742861,0.76736259478423,4.07102930208509,0.1437983365,3766.07502551186,26189.9763041547,0.106620160955128,NA,NA,NA
"T",2016-07-27,2016,209,0.201,4.62903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-08-01,2016,214,0.086,1.98058,"Daphnia",38.7938107232818,0.884594688481616,6.18495098939265,0.1437983365,548.82015448726,3816.59599022733,0.0236054591458685,NA,NA,NA
"L",2016-08-02,2016,215,0.061,1.40483,"Daphnia",90.9667393675027,0.975960992746383,8.75267872647026,0.1437983365,1286.91610909246,8949.45060155448,0.0783316658938224,NA,NA,NA
"T",2016-08-03,2016,216,0.201,4.62903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-08-08,2016,221,0.082,1.88846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",2016-08-09,2016,222,0.061,1.40483,"Daphnia",226.893879256319,0.895978352084747,6.46303407298755,0.1437983365,3209.8917725279,22322.1759768264,0.144268983921453,NA,NA,NA
"T",2016-08-10,2016,223,0.183,4.21449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2016-08-15,2016,228,0.081,1.86543,"Daphnia",29.0335955772911,0.872032556222182,7.6506065523991,0.1437983365,410.741355720611,2856.37070440388,0.0218529684271931,NA,NA,NA
"L",2016-08-16,2016,229,0.058,1.33574,"Daphnia",23.0388007657596,1.05181169502982,9.7858430199602,0.1437983365,325.932357758221,2266.59338133735,0.0221805270198481,NA,NA,NA
"T",2016-08-17,2016,230,0.188,4.32964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R",2018-05-28,2018,148,0.065,1.49695,"Daphnia",37.9229208924949,0.95858,2.15728591847639,0.17723005627381,536.499583690976,3027.13656459103,0.00653039908409722,1.21737040814066,0,0
"L",2018-05-29,2018,149,0.049,1.12847,"Daphnia",62.7558823529412,0.822774666666667,1.26929373834475,0.1437983365,887.814123072358,6174.02220833311,0.00783664772943865,2.04726902121755,0,0
"R",2018-06-04,2018,155,0.067,1.54301,"Daphnia",91.8642117376295,1.310508,4.68006661632503,0.17723005627381,1299.61274589193,7332.9139154823,0.034318525616234,4.30107301665625,0,0
"L",2018-06-05,2018,156,0.052,1.19756,"Daphnia",64.0898566703418,1.020636,2.23485496238816,0.1437983365,906.685999212087,6305.26069550246,0.0140913431544947,2.4798454105888,0,0
"R",2018-06-11,2018,162,0.069,1.58907,"Daphnia",77.9949381327334,1.49753533333333,5.93058860646451,0.17723005627381,1103.40266133076,6225.821311178,0.0369227849339562,2.02329100412881,0,0
"L",2018-06-12,2018,163,0.056,1.28968,"Daphnia",47.1905274488698,0.714108461538462,0.834172141107938,0.1437983365,667.609396497901,4642.67816128667,0.00387279278227557,1.91532512177787,0,0
"R",2018-06-18,2018,169,0.066,1.51998,"Daphnia",61.0229508196721,1.319658,5.50341806707373,0.17723005627381,863.298156889284,4871.0595428325,0.0268074770938163,4.19194063617667,0,0
"L",2018-06-19,2018,170,0.052,1.19756,"Daphnia",111.551155115512,0.818908,1.25152329136306,0.1437983365,1578.12602171062,10974.5777324108,0.0137349396449865,2.05394398273144,0,0
"R",2018-06-25,2018,176,0.08,1.8424,"Daphnia",134.092031425365,0.865102,1.51692413431324,0.17723005627381,1897.01418938494,10703.6821477626,0.0162366737759589,2.01622720990537,0,0
"L",2018-06-26,2018,177,0.057,1.31271,"Daphnia",235.709110867179,0.992887333333333,2.11082261119534,0.1437983365,3334.60178900508,23189.4322992052,0.0489487780379459,1.84527042860778,0,0
"R",2018-07-02,2018,183,0.073,1.68119,"Daphnia",177.277901785714,1.094892,2.76625576992163,0.17723005627381,2507.9692773472,14150.9252441501,0.0391450786063599,2.46792120749602,0,0
"L",2018-07-03,2018,184,0.061,1.40483,"Daphnia",111.692817679558,1.00455533333333,2.19365445632653,0.1437983365,1580.13013702787,10988.5147178171,0.0241050042791491,2.63965565421269,0,0
"R",2018-07-09,2018,190,0.083,1.91149,"Daphnia",29.7033333333333,0.95418,1.94823630382146,0.17723005627381,420.216206782779,2371.02112146018,0.00461930942595618,2.27518979446379,0,0
"L",2018-07-10,2018,191,0.07,1.6121,"Daphnia",54.9368770764119,0.925421333333333,2.17203120056468,0.1437983365,777.197826199359,5404.77619641559,0.011739342530684,2.43299106908836,0,0
"R",2018-07-16,2018,197,0.073,1.68119,"Daphnia",36.6474501108647,0.898103333333333,1.72346645611409,0.17723005627381,518.455363276245,2925.32414747565,0.00504169804143482,3.02434081485805,0,0
"L",2018-07-17,2018,198,0.077,1.77331,"Daphnia",211.18992248062,1.00420733333333,2.0945353280967,0.1437983365,2987.72623057644,20777.1960600979,0.0435185711666666,3.756577612387,0,0
"R",2018-07-23,2018,204,0.079,1.81937,"Daphnia",42.7802197802198,0.764596666666667,1.15021075284842,0.17723005627381,605.216306184858,3414.8626870029,0.00392781178209159,3.42937488730304,0,0
"L",2018-07-24,2018,205,0.063,1.45089,"Daphnia",82.5112107623319,0.911327333333333,1.61603747772937,0.1437983365,1167.29484918421,8117.58242546989,0.0131183174281166,3.23003331820851,0,0
"R",2018-07-30,2018,211,0.079,1.81937,"Daphnia",19.7330743618202,0.86587,1.96330775280485,0.17723005627381,279.165895740767,1575.16113017237,0.00309252605878427,2.57770164249151,0,0
"L",2018-07-31,2018,212,0.065,1.49695,"Daphnia",72.0307354555434,1.03676133333333,2.80378215608393,0.1437983365,1019.02645353728,7086.49681449742,0.0198689933176335,2.62552806576581,0,0
"R",2018-08-06,2018,218,0.072,1.65816,"Daphnia",30.6491228070176,0.803585333333333,1.11415387500424,0.17723005627381,433.596390770435,2446.51725495451,0.0027257966798723,3.64342729390877,0,0
"L",2018-08-07,2018,219,0.062,1.42786,"Daphnia",73.414364640884,0.896632,1.58224190402899,0.1437983365,1038.60080235978,7222.62042551362,0.0114279326941433,3.56728088828911,0,0
"R",2018-08-13,2018,225,0.067,1.54301,"Daphnia",46.1586433260394,0.909061333333333,1.73474270848627,0.17723005627381,653.011222378213,3684.53994828817,0.00639172880941927,1.62557994771362,0,0
"L",2018-08-14,2018,226,0.059,1.35877,"Daphnia",65.9157667386609,0.90092,1.67891269675567,0.1437983365,932.517342591131,6484.89659399593,0.0108875752288074,1.7656245286022,0,0
"R",2018-08-20,2018,232,0.07,1.6121,"Daphnia",19.648401826484,0.727355714285714,0.90027612129666,0.17723005627381,277.968024403623,1568.40228033432,0.00141199512157221,NA,0,0
"L",2018-08-21,2018,233,0.062,1.42786,"Daphnia",228.437704918033,1.007284,2.82351713457687,0.1437983365,3231.73243789091,22474.0599686347,0.0634558934049481,NA,0,0
"R",2019-05-20,2019,140,0.084,1.93452,"Daphnia",4.02362204724409,1.6799325,9.08746562576125,0.17723005627381,56.9226078179937,321.179200722318,0.00291870494627354,3.79286991087714,0,0
"L",2019-05-21,2019,141,0.044,1.01332,"Daphnia",5.63112078346028,1.85956333333333,10.6161154990948,0.1437983365,79.6640629186854,553.998501357388,0.00588131207673547,1.86963847586823,0,0
"R",2019-05-27,2019,147,0.085,1.95755,"Daphnia",45.9651416122004,0.8613,2.32258293744502,0.17723005627381,650.273733111171,3669.0939831703,0.00852177508119353,2.4368993356958,0,0
"L",2019-05-28,2019,148,0.048,1.10544,"Daphnia",3.62882096069869,0.57974,0.441524374366729,0.1437983365,51.3373149769491,357.009101958207,0.000157628220385325,2.63904098414696,0,0
"R",2019-06-03,2019,154,0.085,1.95755,"Daphnia",83.502808988764,1.03459,2.68899361059308,0.17723005627381,1181.32309445512,6665.47830143466,0.0179234285641046,2.43408226989482,0,0
"L",2019-06-04,2019,155,0.047,1.08241,"Daphnia",17.3934782608696,0.868248,1.98471410251931,0.1437983365,246.067381580339,1711.19769233449,0.00339623819217478,1.9415767171763,0,0
"R",2019-06-10,2019,161,0.087,2.00361,"Daphnia",103.174291938998,0.768406,1.04658368374023,0.17723005627381,1459.61764996425,8235.72299559181,0.00861937331099061,4.3754528603052,0.5,0.5
"L",2019-06-11,2019,162,0.056,1.28968,"Daphnia",39.4565217391304,1.08944866666667,3.18868363910339,0.1437983365,558.195597510705,3881.79454016636,0.0123778147405893,2.25365264078784,0,0
"R",2019-06-17,2019,168,0.086,1.98058,"Daphnia",97.0588235294118,1.44228,6.20106882323492,0.17723005627381,1373.10146981243,7747.56550148057,0.0480431868872016,4.66210648278589,4.5,1
"L",2019-06-18,2019,169,0.054,1.24362,"Daphnia",11.0635268346112,1.17449307692308,3.89140543425712,0.1437983365,156.516887445173,1088.44713544494,0.00423558909777205,2.89484430066077,0,0
"L",2019-06-25,2019,176,0.057,1.31271,"Daphnia",20.6279826464208,1.32272533333333,6.23412980101392,0.1437983365,291.826258150374,2029.41331070526,0.012651625998842,2.80724042514234,0,0
"R",2019-06-26,2019,177,0.089,2.04967,NA,NA,NA,NA,NA,NA,NA,NA,5.32061279099659,15,1.5
"R",2019-07-01,2019,182,0.089,2.04967,"Daphnia",3.61621621621622,0.828375,1.24202419202326,0.17723005627381,51.1589943199894,288.658681239438,0.000358521065336913,7.38366688222511,23,2
"L",2019-07-02,2019,183,0.057,1.31271,"Daphnia",30.09760087241,1.37921307692308,5.97441624003575,0.1437983365,425.7939514712,2961.04921541425,0.017690540520116,3.10928484614549,0,0
"R",2019-07-08,2019,189,0.086,1.98058,"Daphnia",152.158695652174,1.139952,3.54682793729311,0.17723005627381,2152.60520421856,12145.8247516037,0.0430791505504541,2.93950509994468,37.5,2.5
"L",2019-07-09,2019,190,0.055,1.26665,"Daphnia",108.318918918919,1.15481933333333,3.86057070694433,0.1437983365,1532.39923345033,10656.58526203,0.0411405008986476,4.28729931341097,0,0
"R",2019-07-15,2019,196,0.081,1.86543,"Daphnia",154.467811158798,1.24808066666667,4.32681954398023,0.17723005627381,2185.2725061785,12330.1462072685,0.0533503175897432,5.07456614140326,55.5,3
"L",2019-07-16,2019,197,0.069,1.58907,"Daphnia",97.9697624190065,1.059534,3.12980555515057,0.1437983365,1385.98861889098,9638.41900139767,0.0301663773334432,4.02991569169172,0,0
"R",2019-07-22,2019,203,0.083,1.91149,"Daphnia",197.352297592998,1.452002,5.70766862250027,0.17723005627381,2791.96388377497,15753.3318133215,0.0899147976907302,16.6089390001526,77,3.5
"L",2019-07-23,2019,204,0.067,1.54301,"Daphnia",134.4,1.23593933333333,4.41824112527168,0.1437983365,1901.37105347118,13222.4829559915,0.0584201179743654,3.99940893033471,0,0
"R",2019-07-29,2019,210,0.08,1.8424,"Daphnia",94.1496232508073,1.35025333333333,4.62107790055668,0.17723005627381,1331.94470494272,7515.34323774601,0.0347289865510461,43.7733548476732,102,4
"L",2019-07-30,2019,211,0.063,1.45089,"Daphnia",88.6540948275862,1.37193133333333,6.00188973401471,0.1437983365,1254.19888152426,8721.92900176049,0.0523480561364715,5.42477551671105,0,0
"R",2019-08-05,2019,217,0.083,1.91149,"Daphnia",144.662715517241,1.07751733333333,2.90043741120171,0.17723005627381,2046.55877828139,11547.470114886,0.0334927143259491,23.356292555965,130.5,4.5
"L",2019-08-06,2019,218,0.067,1.54301,"Daphnia",148.579117330463,1.210892,4.17678954755366,0.1437983365,2101.96453007768,14617.4467746897,0.0610539989004461,5.5178761059875,0,0
"R",2019-08-12,2019,224,0.096,2.21088,"Daphnia",122.401939655172,1.16125533333333,3.37050064026276,0.17723005627381,1731.63322134725,9770.53925137834,0.0329316088024831,9.01536636129309,162.5,5
"L",2019-08-13,2019,225,0.061,1.40483,"Daphnia",533.135338345865,1.18793,3.34101401166333,0.1437983365,7542.32217197462,52450.6914026409,0.175238494897653,8.27956251586026,0,0
"R",2019-08-19,2019,231,0.076,1.75028,"Daphnia",721.836477987421,1.54721266666667,6.65135627499028,0.17723005627381,10211.8972067326,57619.4434591606,0.383247446813536,3.98910259203843,197.5,5
"L",2019-08-20,2019,232,0.06,1.3818,"Daphnia",69.1692954784438,1.43167866666667,5.65587019418568,0.1437983365,978.545358718063,6804.98385819688,0.0384881053754904,6.97278752881318,0,0
"R",2019-08-26,2019,238,0.082,1.88846,"Daphnia",116.266045548654,1.355394,4.66067861189435,0.17723005627381,1644.82807669474,9280.75130864695,0.0432545991265214,9.90514690087244,227.5,0
"L",2019-08-27,2019,239,0.055,1.26665,"Daphnia",196.7659137577,1.420456,5.68436017801003,0.1437983365,2783.66824946947,19358.139441825,0.110038636963475,4.94601174838758,0,0
"R",2019-09-02,2019,245,0.076,1.75028,"Daphnia",239.659793814433,1.552824,6.92706037794861,0.17723005627381,3390.49251964013,19130.4600975921,0.132517852153957,15.8574695205094,227.5,0
"L",2019-09-03,2019,246,0.053,1.22059,NA,NA,NA,NA,NA,NA,NA,NA,4.69522418317796,0,0
"R",2008-05-14,2008,135,NA,NA,"Daphnia",83.17018127,0.862737298,4.678162908,0.17723005627381,1176.61737484173,6638.92682527804,0.0310579812229419,NA,NA,NA
"L",2009-08-25,2009,237,NA,NA,"Daphnia",162.7142487,0.885123193,5.015748373,0.1437983365,2301.93573263013,16008.0831855112,0.0802925171925765,4.59428,0,0
"L",2012-07-30,2012,212,NA,NA,"Daphnia",1728.273193,1.094945788,8.946095697,0.1437983365,24450.064149259,170030.229447466,1.5211067040199,NA,NA,NA
"R",2013-05-20,2013,140,NA,NA,"Daphnia",7.501508897104,1.02029394975,9.48542008357377,0.17723005627381,106.12464192195,598.795961323815,0.00567983123750378,NA,0,0
"L",2013-05-21,2013,141,NA,NA,"Daphnia",3.64425622022234,0.91975,6.74341249272352,0.1437983365,51.5556792303797,358.527647017528,0.00241769981388477,NA,0,0
"T",2013-05-22,2013,142,NA,NA,"Daphnia",0,NA,NA,0.14,0,0,NA,NA,0,0
"T",2014-06-04,2014,155,NA,NA,"Daphnia",1.49118364284374,2.35,71.4151257813086,0.14,21.0959331392321,150.6852367088,0.0107612051329452,8.72868017399268,9,3
"R",2014-07-29,2014,210,NA,NA,"Daphnia",606.273210489015,1.51233333333333,27.4927986233207,0.17723005627381,8577.01140564621,48394.7902854314,1.3305082237352,5.59408365072428,174,3
"T",2014-08-20,2014,232,NA,NA,"Daphnia",148.715509638402,0.479133333333333,1.09609897784142,0.14,2103.89408652285,15027.8149037347,0.0164719725551736,15.4638926015391,240,3
"R",2016-08-09,2016,222,NA,NA,"Daphnia",279.23329586173,1.01172307248613,9.53329504103135,0.1437983365,3950.34304997653,27471.4099350971,0.2618930561044,NA,NA,NA
"R",2019-05-14,2019,134,NA,NA,"Daphnia",4.13246471226927,1.18825,3.49600085726337,0.17723005627381,58.4624165431539,329.867392542227,0.00115321668711086,2.41024027396941,0,0
"L",2019-05-15,2019,135,NA,NA,"Daphnia",4.94901315789474,1.2276425,4.11850153666769,0.1437983365,70.0142140005136,486.891682509231,0.00200526414260499,1.96871674135652,0,0
"R",2019-06-24,2019,175,NA,NA,"Daphnia",1.52065217391304,1.45372,5.93894188122922,0.17723005627381,21.5128275734842,121.383629987953,0.000720890323831084,6.47011305564234,12,1.5
"L",2019-09-02,2019,245,NA,NA,"Daphnia",84.8379345603272,1.15345,3.38951438798791,0.1437983365,1200.21125750958,8346.48916477267,0.0282905451131822,4.52200899087838,0,0
"L",2008-05-16,2008,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90931,0,0
"L",2008-05-17,2008,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49532,0,0
"L",2008-05-18,2008,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37033,0,0
"L",2008-05-19,2008,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46978,0,0
"L",2008-05-21,2008,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99666,0,0
"L",2008-05-22,2008,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86292,0,0
"L",2008-05-23,2008,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5257,0,0
"L",2008-05-24,2008,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72365,0,0
"L",2008-05-25,2008,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90656,0,0
"L",2008-05-26,2008,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15742,0,0
"L",2008-05-28,2008,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6939,0,0
"L",2008-05-29,2008,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32254,0,0
"L",2008-05-30,2008,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93549,0,0
"L",2008-05-31,2008,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06398,0,0
"L",2008-06-01,2008,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.74887,0,0
"L",2008-06-02,2008,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.912902,0,0
"L",2008-06-04,2008,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81874,0,0
"L",2008-06-05,2008,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11203,0,0
"L",2008-06-06,2008,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.38678,0,0
"L",2008-06-07,2008,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81312,0,0
"L",2008-06-08,2008,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23853,0,0
"L",2008-06-09,2008,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18901,0,0
"L",2008-06-11,2008,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.60101,0,0
"L",2008-06-12,2008,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95939,0,0
"L",2008-06-13,2008,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.60128,0,0
"L",2008-06-14,2008,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.09827,0,0
"L",2008-06-15,2008,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78657,0,0
"L",2008-06-16,2008,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11946,0,0
"L",2008-06-18,2008,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84949,0,0
"L",2008-06-19,2008,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61004,0,0
"L",2008-06-20,2008,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59597,0,0
"L",2008-06-21,2008,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.19379,0,0
"L",2008-06-22,2008,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56464,0,0
"L",2008-06-23,2008,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05017,0,0
"L",2008-06-25,2008,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.20627,0,0
"L",2008-06-26,2008,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07778,0,0
"L",2008-06-27,2008,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28591,0,0
"L",2008-06-28,2008,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.20016,0,0
"L",2008-06-29,2008,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37032,0,0
"L",2008-06-30,2008,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09053,0,0
"L",2008-07-02,2008,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44731,0,0
"L",2008-07-03,2008,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92408,0,0
"L",2008-07-04,2008,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1484,0,0
"L",2008-07-05,2008,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24688,0,0
"L",2008-07-06,2008,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10937,0,0
"L",2008-07-07,2008,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91001,0,0
"L",2008-07-09,2008,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28086,0,0
"L",2008-07-10,2008,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38811,0,0
"L",2008-07-11,2008,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80807,0,0
"L",2008-07-12,2008,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07539,0,0
"L",2008-07-13,2008,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5596,0,0
"L",2008-07-14,2008,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39315,0,0
"L",2008-07-16,2008,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57473,0,0
